docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0006322312001096-1271	1	Quantity	239	248	T1-1	274名老年参与者	{'unit': 'elderly participants'}
S0006322312001096-1271	1	MeasuredEntity	-1	-1	T3-1	验证研究	{'HasQuantity': 'T1-1'}
S0006322312001096-1271	2	Quantity	289	294	T21-2	几乎90%	{'mods': ['IsRange'], 'unit': '%'}
S0006322312001096-1271	2	MeasuredProperty	-1	-1	T31-2	敏感性和特异性	{'HasQuantity': 'T21-2'}
S0006322312001096-1271	2	MeasuredEntity	273	277	T41-2	问卷测量	{'HasProperty': 'T31-2'}
S0006322312001096-1271	2	Qualifier	-1	-1	T51-2	针对CES-D抑郁症状	{'Qualifies': 'T31-2'}
S0006322312001096-1271	3	Quantity	306	310	T12-3	约80%	{'mods': ['IsApproximate'], 'unit': '%'}
S0006322312001096-1271	3	MeasuredProperty	-1	-1	T32-3	敏感性和特异性	{'HasQuantity': 'T12-3'}
S0006322312001096-1271	3	MeasuredEntity	273	277	T42-3	问卷测量	{'HasProperty': 'T32-3'}
S0006322312001096-1271	3	Qualifier	-1	-1	T62-3	针对GHQ症状	{'Qualifies': 'T32-3'}
