docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S016412121300188X-4937	1	Quantity	166	167	T1-1	两	{'mods': ['IsCount']}
S016412121300188X-4937	1	MeasuredEntity	-1	-1	T3-1	凝聚团	{'HasQuantity': 'T1-1'}
S016412121300188X-4937	2	Quantity	-1	-1	T1-2	10%左右	{'mods': ['IsApproximate'], 'unit': '%'}
S016412121300188X-4937	2	MeasuredProperty	-1	-1	T2-2	凝聚团	{'HasQuantity': 'T1-2'}
S016412121300188X-4937	2	MeasuredEntity	178	180	T5-2	代码	{'HasProperty': 'T2-2'}
S016412121300188X-4937	2	Qualifier	173	175	T3-2	较小	{'Qualifies': 'T2-2'}
S016412121300188X-4937	3	Quantity	-1	-1	T1-3	40%左右	{'mods': ['IsApproximate'], 'unit': '%'}
S016412121300188X-4937	3	MeasuredProperty	-1	-1	T2-3	凝聚团	{'HasQuantity': 'T1-3'}
S016412121300188X-4937	3	MeasuredEntity	178	180	T4-3	代码	{'HasProperty': 'T2-3'}
S016412121300188X-4937	3	Qualifier	186	188	T3-3	较大	{'Qualifies': 'T2-3'}
