docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0032063312003054-2501	1	Quantity	3	6	T1-1	689	{'mods': ['IsCount']}
S0032063312003054-2501	1	MeasuredEntity	7	15	T3-1	电子沉淀特征事件	{'HasQuantity': 'T1-1'}
S0032063312003054-2501	2	Quantity	18	20	T1-2	85	{'mods': ['IsCount']}
S0032063312003054-2501	2	MeasuredEntity	7	15	T4-2	电子沉淀特征事件	{'HasQuantity': 'T1-2'}
S0032063312003054-2501	2	Qualifier	-1	-1	T2-2	观察到重离子同时加速	{'Qualifies': 'T4-2'}
S0032063312003054-2501	3	Quantity	57	60	T1-3	12%	{'unit': '%'}
S0032063312003054-2501	3	MeasuredProperty	25	32	T2-3	重离子同时加速	{'HasQuantity': 'T1-3'}
S0032063312003054-2501	3	MeasuredEntity	-1	-1	T4-3	MEX轨道上有0.5%出现降水特征	{'HasProperty': 'T2-3'}
S0032063312003054-2501	4	Quantity	49	51	T1-4	5%	{'mods': ['IsApproximate'], 'unit': '%'}
S0032063312003054-2501	4	MeasuredEntity	43	48	T2-4	MEX轨道	{'HasQuantity': 'T1-4'}
S0032063312003054-2501	5	Quantity	76	78	T1-5	37	{'mods': ['IsCount']}
S0032063312003054-2501	5	MeasuredEntity	7	15	T2-5	电子沉淀特征事件	{'HasQuantity': 'T1-5'}
S0032063312003054-2501	6	Quantity	49	51	T1-6	5%	{'unit': '%'}
S0032063312003054-2501	6	MeasuredProperty	-1	-1	T3-6	重离子周边加速	{'HasQuantity': 'T1-6'}
S0032063312003054-2501	6	MeasuredEntity	52	56	T2-6	降水特征	{'HasProperty': 'T3-6'}
S0032063312003054-2501	7	Quantity	58	60	T1-7	2%	{'mods': ['IsApproximate'], 'unit': '%'}
S0032063312003054-2501	7	MeasuredProperty	-1	-1	T4-7	重离子周边加速	{'HasQuantity': 'T1-7'}
S0032063312003054-2501	7	MeasuredEntity	43	48	T3-7	MEX轨道	{'HasProperty': 'T4-7'}
