docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S030881461301604X-1002	1	Quantity	9	10	T1-1	两	{'mods': ['IsCount']}
S030881461301604X-1002	1	MeasuredEntity	76	80	T2-1	储备溶液	{'HasQuantity': 'T1-1'}
S030881461301604X-1002	2	Quantity	-1	-1	T1-2	100 mg/L	{'unit': 'mg/L'}
S030881461301604X-1002	2	MeasuredProperty	35	37	T3-2	浓度	{'HasQuantity': 'T1-2'}
S030881461301604X-1002	2	MeasuredEntity	27	30	T2-2	DMA	{'HasProperty': 'T3-2'}
S030881461301604X-1002	2	Qualifier	16	26	T4-2	AB、As（III）	{'Qualifies': 'T2-2'}
S030881461301604X-1002	3	Quantity	-1	-1	T1-3	1 mg/L	{'unit': 'mg/L'}
S030881461301604X-1002	3	MeasuredProperty	35	37	T3-3	浓度	{'HasQuantity': 'T1-3'}
S030881461301604X-1002	3	MeasuredEntity	31	34	T2-3	MMA	{'HasProperty': 'T3-3'}
S030881461301604X-1002	3	Qualifier	16	26	T4-3	AB、As（III）	{'Qualifies': 'T2-3'}
S030881461301604X-1002	4	Quantity	-1	-1	T1-4	10 mg/L	{'unit': 'mg/L'}
S030881461301604X-1002	4	MeasuredProperty	35	37	T3-4	浓度	{'HasQuantity': 'T1-4'}
S030881461301604X-1002	4	MeasuredEntity	27	30	T2-4	DMA	{'HasProperty': 'T3-4'}
S030881461301604X-1002	4	Qualifier	52	57	T5-4	As（V）	{'Qualifies': 'T2-4'}
S030881461301604X-1002	5	Quantity	-1	-1	T1-5	0.1 mg/L	{'unit': 'mg/L'}
S030881461301604X-1002	5	MeasuredProperty	35	37	T3-5	浓度	{'HasQuantity': 'T1-5'}
S030881461301604X-1002	5	MeasuredEntity	31	34	T2-5	MMA	{'HasProperty': 'T3-5'}
S030881461301604X-1002	5	Qualifier	52	57	T5-5	As（V）	{'Qualifies': 'T2-5'}
S030881461301604X-1002	6	Quantity	85	87	T1-6	1%	{'unit': '%'}
S030881461301604X-1002	6	MeasuredEntity	82	84	T3-6	硝酸	{'HasQuantity': 'T1-6'}
S030881461301604X-1002	7	Quantity	130	147	T1-7	1、5、10、20和50 μg/L	{'unit': 'μg/L'}
S030881461301604X-1002	7	MeasuredEntity	123	129	T2-7	最终标准浓度	{'HasQuantity': 'T1-7'}
S030881461301604X-1002	8	Quantity	85	87	T1-8	1%	{'unit': '%'}
S030881461301604X-1002	8	MeasuredEntity	82	84	T2-8	硝酸	{'HasQuantity': 'T1-8'}
