docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0019103512003533-5598	1	Quantity	-1	-1	T51-1	74°S至90°S	{'mods': ['IsRange'], 'unit': '°S'}
S0019103512003533-5598	1	MeasuredEntity	-1	-1	T61-1	夏季极地地区	{'HasQuantity': 'T51-1'}
S0019103512003533-5598	2	Quantity	-1	-1	T22-2	490 K	{'mods': ['IsMean'], 'unit': 'K'}
S0019103512003533-5598	2	MeasuredProperty	-1	-1	T42-2	外大气温度	{'HasQuantity': 'T22-2'}
S0019103512003533-5598	2	MeasuredEntity	-1	-1	T122-2	至点模拟（R19）	{'HasProperty': 'T42-2'}
S0019103512003533-5598	2	Qualifier	-1	-1	T72-2	74°S至90°S（夏季极地地区）	{'Qualifies': 'T42-2'}
S0019103512003533-5598	2	Qualifier	234	236	T82-2	平均	{'Qualifies': 'T22-2'}
S0019103512003533-5598	3	Quantity	-1	-1	T13-3	430 K	{'mods': ['IsMean'], 'unit': 'K'}
S0019103512003533-5598	3	MeasuredProperty	-1	-1	T43-3	外大气温度	{'HasQuantity': 'T13-3'}
S0019103512003533-5598	3	MeasuredEntity	-1	-1	T123-3	至点模拟（R19）	{'HasProperty': 'T43-3'}
S0019103512003533-5598	3	Qualifier	-1	-1	T103-3	在北（冬季）半球的同一纬度带上	{'Qualifies': 'T43-3'}
S0019103512003533-5598	3	Qualifier	234	236	T93-3	平均	{'Qualifies': 'T13-3'}
S0019103512003533-5598	4	Quantity	-1	-1	T34-4	60 K	{'unit': 'K'}
S0019103512003533-5598	4	MeasuredEntity	191	193	T114-4	差异	{'HasQuantity': 'T34-4'}
