docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0016236113008041-3186	1	Quantity	22	31	T11-1	大于0.1 ppm	{'mods': ['IsRange'], 'unit': 'ppm'}
S0016236113008041-3186	1	MeasuredProperty	12	14	T91-1	浓度	{'HasQuantity': 'T11-1'}
S0016236113008041-3186	1	MeasuredEntity	-1	-1	T101-1	镭、钍和钍	{'HasProperty': 'T91-1'}
S0016236113008041-3186	2	Quantity	64	68	T52-2	0.06	{'unit': 'ppm'}
S0016236113008041-3186	2	MeasuredProperty	12	14	T122-2	浓度	{'HasQuantity': 'T52-2'}
S0016236113008041-3186	2	MeasuredEntity	36	37	T112-2	W	{'HasProperty': 'T122-2'}
S0016236113008041-3186	2	Qualifier	48	51	T182-2	4.5	{'Qualifies': 'T122-2'}
S0016236113008041-3186	3	Quantity	75	79	T63-3	0.42	{'unit': 'ppm'}
S0016236113008041-3186	3	MeasuredProperty	12	14	T123-3	浓度	{'HasQuantity': 'T63-3'}
S0016236113008041-3186	3	MeasuredEntity	36	37	T113-3	W	{'HasProperty': 'T123-3'}
S0016236113008041-3186	3	Qualifier	52	53	T193-3	6	{'Qualifies': 'T123-3'}
S0016236113008041-3186	4	Quantity	88	96	T24-4	0.74 ppm	{'unit': 'ppm'}
S0016236113008041-3186	4	MeasuredProperty	12	14	T124-4	浓度	{'HasQuantity': 'T24-4'}
S0016236113008041-3186	4	MeasuredEntity	36	37	T114-4	W	{'HasProperty': 'T124-4'}
S0016236113008041-3186	4	Qualifier	54	58	T34-4	13公斤	{'Qualifies': 'T124-4'}
S0016236113008041-3186	5	Quantity	48	58	T75-5	4.5、6和13公斤	{'unit': 'kg'}
S0016236113008041-3186	5	MeasuredEntity	44	46	T135-5	库存	{'HasQuantity': 'T75-5'}
S0016236113008041-3186	6	Quantity	110	118	T48-6	<0.1 ppm	{'mods': ['IsRange'], 'unit': 'ppm'}
S0016236113008041-3186	6	MeasuredProperty	105	109	T158-6	废气浓度	{'HasQuantity': 'T48-6'}
S0016236113008041-3186	6	MeasuredEntity	5	9	T148-6	微量元素	{'HasProperty': 'T158-6'}
