docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0012821X13007309-1482	1	Quantity	-1	-1	T11-1	17.7 M	{'unit': 'm'}
S0012821X13007309-1482	1	MeasuredProperty	70	71	T21-1	厚	{'HasQuantity': 'T11-1'}
S0012821X13007309-1482	1	MeasuredEntity	-1	-1	T31-1	Bridge Creek石灰岩（¥ 12 m）和Hartland页岩（¥ 12.6 m）的部分	{'HasProperty': 'T21-1'}
S0012821X13007309-1482	2	Quantity	-1	-1	T52-2	12 m	{'mods': ['IsApproximate'], 'unit': 'm'}
S0012821X13007309-1482	2	MeasuredEntity	-1	-1	T42-2	布里奇溪石灰岩	{'HasQuantity': 'T52-2'}
S0012821X13007309-1482	3	Quantity	-1	-1	T73-3	12.6 m	{'mods': ['IsApproximate'], 'unit': 'm'}
S0012821X13007309-1482	3	MeasuredEntity	52	57	T63-3	哈特兰页岩	{'HasQuantity': 'T73-3'}
S0012821X13007309-1482	4	Quantity	136	137	T84-4	四	{'mods': ['IsCount']}
S0012821X13007309-1482	4	MeasuredEntity	-1	-1	T94-4	膨润土单位	{'HasQuantity': 'T84-4'}
S0012821X13007309-1482	5	Quantity	-1	-1	T105-5	1至20厘米	{'mods': ['IsRange'], 'unit': 'cm'}
S0012821X13007309-1482	5	MeasuredEntity	-1	-1	T95-5	膨润土单位	{'HasQuantity': 'T105-5'}
S0012821X13007309-1482	6	Quantity	224	237	T126-6	93.90±0.15 Ma	{'mods': ['HasTolerance'], 'unit': 'Ma'}
S0012821X13007309-1482	6	MeasuredEntity	215	218	T116-6	CTB	{'HasQuantity': 'T126-6'}
