docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0019103512004009-3825	1	Quantity	0	3	T11-1	50%	{'unit': '%'}
S0019103512004009-3825	1	MeasuredProperty	-1	-1	T51-1	净热效率	{'HasQuantity': 'T11-1'}
S0019103512004009-3825	1	MeasuredEntity	-1	-1	T141-1	典型的气态巨星（以下简称H50模型）	{'HasProperty': 'T51-1'}
S0019103512004009-3825	2	Quantity	-1	-1	T22-2	11，500 K	{'unit': 'K'}
S0019103512004009-3825	2	MeasuredProperty	77	81	T72-2	最高温度	{'HasQuantity': 'T22-2'}
S0019103512004009-3825	2	MeasuredEntity	-1	-1	T82-2	H50型号	{'HasProperty': 'T72-2'}
S0019103512004009-3825	3	Quantity	-1	-1	T123-3	接近1.5RP	{'mods': ['IsApproximate'], 'unit': 'Rp'}
S0019103512004009-3825	3	MeasuredProperty	-1	-1	T113-3	温度峰值	{'HasQuantity': 'T123-3'}
S0019103512004009-3825	3	MeasuredEntity	-1	-1	T83-3	H50型号	{'HasProperty': 'T113-3'}
S0019103512004009-3825	3	Qualifier	-1	-1	T173-3	p = 0.3 nbar	{'Qualifies': 'T123-3'}
S0019103512004009-3825	4	Quantity	-1	-1	T164-4	0.3 NBAR	{'unit': 'nbar'}
S0019103512004009-3825	4	MeasuredEntity	98	99	T154-4	p	{'HasQuantity': 'T164-4'}
S0019103512004009-3825	5	Quantity	-1	-1	T105-5	0.1至1	{'mods': ['IsRange']}
S0019103512004009-3825	5	MeasuredProperty	-1	-1	T95-5	n网	{'HasQuantity': 'T105-5'}
S0019103512004009-3825	5	MeasuredEntity	-1	-1	T85-5	H50型号	{'HasProperty': 'T95-5'}
S0019103512004009-3825	6	Quantity	-1	-1	T46-6	1.4RP（0.5 nbar）至1.9RP（0.1 nbar）	{'mods': ['IsRange'], 'unit': 'Rp'}
S0019103512004009-3825	6	MeasuredProperty	125	127	T136-6	峰值	{'HasQuantity': 'T46-6'}
S0019103512004009-3825	6	MeasuredEntity	-1	-1	T86-6	H50型号	{'HasProperty': 'T136-6'}
S0019103512004009-3825	6	Qualifier	-1	-1	T186-6	偏离	{'Qualifies': 'T136-6'}
S0019103512004009-3825	7	Quantity	-1	-1	T37-7	10，000 K至13，200 K	{'mods': ['IsRange'], 'unit': 'K'}
S0019103512004009-3825	7	MeasuredProperty	77	81	T67-7	最高温度	{'HasQuantity': 'T37-7'}
S0019103512004009-3825	7	MeasuredEntity	-1	-1	T87-7	H50型号	{'HasProperty': 'T67-7'}
S0019103512004009-3825	8	Quantity	31	32	T208-8	1	
S0019103512004009-3825	8	MeasuredEntity	-1	-1	T198-8	n网	{'HasQuantity': 'T208-8'}
